Altitude 	area_drenagem	Temperatura_media	densidade_drenagem	declividade_media
BALSA_DO_CANTU	363.0	2520.1	20.2	0.33102	0.408
ETA_GUARAPUAVA	963.0	312.8	18.1	0.28175	0.635
FAZENDA_MARACANA	843.3	323.6	18.2	0.25295	0.818
GUAMPARA	549.4	1688.7	19.9	0.31669	0.415
MADEREIRA_GAVAZZONI	808.2	935.7	18.5	0.27303	0.540
PONTE_DO_GOIO_BANG	319.4	1341.8	20.6	0.31023	0.396
PONTE_LEONCIO_PRIMO	494.5	696.6	20.1	0.32644	0.738
PORTO_CARRIEL	418.3	3569.3	20.1	0.33466	0.303
PORTO_GUARANI	370.3	4165.0	20.1	0.33405	0.269
PORTO_SANTO_ANTONIO	350.4	1084.1	20.2	0.30953	0.534
RIO_DOS_PATOS	733.2	1097.7	18.8	0.29485	0.211
SALTO_SAPUCAI	334.8	693.3	20.6	0.31077	0.523
SAO_SEBASTIAO	258.2	1311.6	20.6	0.29094	0.436
TEREZA_CRISTINA	488.1	3567.9	19.1	0.28381	0.258
TORMENTA_FAZENDA_TRENTO	350.9	319.6	20.5	0.26877	0.715
